Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
3272165,Bad Science,Ben Goldacre,"Goldacre, Ben",,0007240198,9780007240197,4,4.06,HarperCollins Publishers,Paperback,338,2008,2008,2026/02/07,2026/02/01,,,read
197812306,The AI Mirror: How to Reclaim Our Humanity in an Age of Machine Thinking,Shannon Vallor,"Vallor, Shannon",,0197759068,9780197759066,0,3.98,Oxford University Press,Hardcover,272,2024,,,2026/02/04,"to-read, ai-reading","to-read (#123), ai-reading (#17)",to-read
211399783,"The Thinking Machine: Jensen Huang, Nvidia, and the World's Most Coveted Microchip",Stephen Witt,"Witt, Stephen",,0593832698,9780593832691,0,4.32,Viking,Hardcover,272,2025,2025,,2026/02/04,"to-read, ai-reading","to-read (#122), ai-reading (#16)",to-read
57693262,Cleopatra and Frankenstein,Coco Mellors,"Mellors, Coco",,1635576814,9781635576818,0,3.68,Bloomsbury Publishing,Paperback,368,2022,2022,,2026/02/03,to-read,to-read (#121),to-read
15997,Paradise Lost,John Milton,"Milton, John",,0140424393,9780140424393,0,3.86,Penguin Classics,Paperback,453,2003,1667,,2026/02/02,to-read,to-read (#120),to-read
54377375,"Life’s Too Short (The Friend Zone, #3)",Abby Jimenez,"Jimenez, Abby",,1538715686,9781538715680,4,4.15,Forever,ebook,384,2021,2021,2026/02/01,2026/01/29,,,read
199809440,"Supremacy: AI, ChatGPT, and the Race That Will Change the World",Parmy Olson,"Olson, Parmy",,1250337747,9781250337740,5,4.06,St. Martin's Press,Hardcover,336,2024,2024,2026/02/01,2026/01/20,ai-reading,ai-reading (#3),read
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,,,0,4.30,Ecco,Paperback,408,2012,2011,,2025/07/30,"to-read, 2026","to-read (#47), 2026 (#28)",to-read
222139748,"Brimstone (Fae & Alchemy, #2)",Callie Hart,"Hart, Callie",,1538774224,9781538774229,3,4.08,Forever,Hardcover,672,2025,2025,2026/01/26,2025/11/27,2026,2026 (#17),read
55824211,How To Talk To Robots: A Girls’ Guide To a Future Dominated by AI,Tabitha Goldstaub,"Goldstaub, Tabitha",,0008405875,9780008405878,2,3.73,Fourth Estate,Hardcover,256,2020,,2026/01/26,2026/01/20,ai-reading,ai-reading (#13),read
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,0553213695,9780553213690,0,3.91,Bantam Classics,Mass Market Paperback,201,1972,1915,2026/01/26,2026/01/10,2026,2026 (#14),read
212127083,"Quicksilver (Fae & Alchemy, #1)",Callie Hart,"Hart, Callie",,,,5,4.32,Counterattack Publishing,ebook,588,2024,2024,2026/01/23,2025/11/27,2026,2026 (#16),read
215217600,"AI Valley: Microsoft, Google, and the Trillion-Dollar Race to Cash In on Artificial Intelligence – A Definitive Insider Chronicle of the Breakthroughs Redefining Our World",Gary Rivlin,"Rivlin, Gary",,0063347490,9780063347496,0,4.01,Harper Business,Hardcover,320,2025,,,2026/01/20,"to-read, ai-reading","to-read (#117), ai-reading (#15)",to-read
38242135,"AI Superpowers: China, Silicon Valley, and the New World Order",Kai-Fu Lee,"Lee, Kai-Fu",,132854639X,9781328546395,0,4.09,Harper Business,Hardcover,255,2018,2018,,2026/01/20,"to-read, ai-reading","to-read (#116), ai-reading (#14)",to-read
45307730,The Creativity Code: Art and Innovation in the Age of AI,Marcus du Sautoy,"Sautoy, Marcus du",,0674240421,9780674240421,0,3.95,Belknap Press,Kindle Edition,313,2019,2019,,2026/01/20,"to-read, ai-reading","to-read (#115), ai-reading (#12)",to-read
34762552,Algorithms of Oppression: How Search Engines Reinforce Racism,Safiya Umoja Noble,"Noble, Safiya Umoja",,1479837245,9781479837243,0,3.89,NYU Press,Paperback,248,2018,2018,,2026/01/20,"to-read, ai-reading","to-read (#114), ai-reading (#10)",to-read
212987932,"More Everything Forever: AI Overlords, Space Empires, and Silicon Valley's Crusade to Control the Fate of Humanity",Adam  Becker,"Becker, Adam",,1541619609,9781541619609,0,4.26,Basic Books,Kindle Edition,290,2025,2025,,2026/01/20,"to-read, ai-reading","to-read (#113), ai-reading (#9)",to-read
28186015,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,"O'Neil, Cathy",,0553418815,9780553418811,0,3.87,Crown,Hardcover,259,2016,2016,,2026/01/20,"to-read, ai-reading","to-read (#112), ai-reading (#8)",to-read
